City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Miri,MY,4.4148,114.0089,77.14,94,20,3.44,few clouds
316,Pangnirtung,CA,66.1451,-65.7125,45.23,84,98,2.37,overcast clouds
317,Havoysund,NO,70.9963,24.6622,50.23,85,100,20.6,overcast clouds
318,Fort Nelson,CA,58.8053,-122.7002,72.99,38,75,6.91,broken clouds
319,Meulaboh,ID,4.1363,96.1285,75.76,88,88,3.38,overcast clouds
320,Sanski Most,BA,44.7653,16.6656,67.86,78,48,2.95,scattered clouds
321,Prince Rupert,CA,54.3161,-130.3201,60.89,79,100,12.66,overcast clouds
322,Lixourion,GR,38.2019,20.4314,82.27,62,32,10.33,scattered clouds
323,Manokwari,ID,-0.8667,134.0833,79.14,73,100,2.59,overcast clouds
324,Eaglesfield,GB,54.6406,-3.4044,59.74,84,94,5.73,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,51.57,43,0,6.91,clear sky
326,Faanui,PF,-16.4833,-151.75,77.11,70,82,24.87,broken clouds
327,Tabas,IR,33.5959,56.9244,91.62,18,0,4.61,clear sky
328,Oro Valley,US,32.3909,-110.9665,101.66,32,62,4.0,broken clouds
329,Svetlogorsk,BY,52.6333,29.7333,54.99,95,2,6.26,clear sky
330,Myitkyina,MM,25.3833,97.4,75.76,99,97,0.63,overcast clouds
331,Vestmannaeyjar,IS,63.4427,-20.2734,51.8,85,95,19.17,overcast clouds
332,Acarau,BR,-2.8856,-40.12,78.42,80,43,18.45,scattered clouds
333,Luderitz,NA,-26.6481,15.1594,56.84,75,0,8.48,clear sky
334,Dingle,PH,10.9995,122.6711,74.23,92,99,3.89,overcast clouds
335,Hailar,CN,49.2,119.7,52.9,62,0,14.99,clear sky
336,Sao Filipe,CV,14.8961,-24.4956,79.52,84,95,6.24,overcast clouds
337,Kushikino,JP,31.7167,130.2667,76.46,87,54,0.87,broken clouds
338,Talara,PE,-4.5772,-81.2719,64.98,80,6,20.22,clear sky
339,Zyryanka,RU,65.75,150.85,65.12,60,84,8.77,broken clouds
340,Medea,DZ,36.2642,2.7539,73.99,36,0,3.31,clear sky
341,Kavaratti,IN,10.5669,72.642,80.49,83,99,23.89,overcast clouds
342,Mizdah,LY,31.4451,12.9801,76.32,43,0,9.53,clear sky
343,Kenai,US,60.5544,-151.2583,60.89,69,0,25.32,clear sky
344,Svetlyy,RU,54.675,20.1347,56.97,78,47,1.21,scattered clouds
