City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Rocha,UY,43.84,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
281,Suntar,RU,52.23,broken clouds,62.1444,117.6319,Гостевая квартира
283,Xuddur,SO,68.45,scattered clouds,4.1213,43.8894,Banjanay Hotel
284,Alamosa,US,82.38,few clouds,37.4695,-105.87,Best Western Alamosa Inn
285,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
286,General Roca,AR,38.07,moderate rain,-39.0333,-67.5833,Hotel El Recreo
287,Gemlik,TR,72.45,clear sky,40.4309,29.1597,Atamer Doga Resort
288,Fomboni,KM,75.27,clear sky,-12.28,43.7425,Auberge les abou
289,Picui,BR,69.48,scattered clouds,-6.5106,-36.3469,Pousada Seridó Gold
290,Thap Than,TH,74.95,moderate rain,15.4606,99.8917,ขวัญเรือน ขำสุข
291,Ilulissat,GL,46.42,overcast clouds,69.2167,-51.1,Hotel Arctic
292,Abu Zabad,SD,77.68,overcast clouds,12.35,29.25,حامد محمد نور
293,Chernyshevskiy,RU,47.7,overcast clouds,63.0128,112.4714,Chernyseyskiy
294,Kantunilkin,MX,89.17,broken clouds,21.0917,-87.45,Posada Paraiso
296,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
297,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
298,Xaxim,BR,57.58,overcast clouds,-26.9617,-52.5347,Hotel São Luiz
299,Tuatapere,NZ,37.69,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
300,Kutum,SD,74.08,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
301,Hamamatsu,JP,84.92,scattered clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
302,Nicoya,CR,79.09,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
303,Eravur,LK,79.38,overcast clouds,7.7733,81.6095,Farhan KING House
305,Tumsar,IN,78.03,moderate rain,21.3833,79.7333,Shiyaswar house
306,Pokhara,NP,71.92,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
307,Lompoc,US,88.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
308,Los Llanos De Aridane,ES,74.12,broken clouds,28.6585,-17.9182,Valle Aridane
309,Sabha,LY,86.02,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
311,Killybegs,IE,56.79,broken clouds,54.6333,-8.45,Tara Hotel
312,Coahuayana,MX,88.45,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
313,Constitucion,CL,50.36,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
314,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
315,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
316,Pangnirtung,CA,45.23,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
317,Havoysund,NO,50.23,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
318,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
319,Meulaboh,ID,75.76,overcast clouds,4.1363,96.1285,Kost Pria
320,Sanski Most,BA,67.86,scattered clouds,44.7653,16.6656,Hotel Sanus
321,Prince Rupert,CA,60.89,overcast clouds,54.3161,-130.3201,Crest Hotel
322,Lixourion,GR,82.27,scattered clouds,38.2019,20.4314,Hotel Summery
323,Manokwari,ID,79.14,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
324,Eaglesfield,GB,59.74,overcast clouds,54.6406,-3.4044,Allerdale Court Hotel
325,Mount Isa,AU,51.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
